,SPY,LQD,HYG,JNK,VCIT,VCSH,USIG,BND,^FTSE,^N225,^STOXX50E,^GDAXI,^FCHI,^HSI,^AXJO
2012-08-13,110.41515350341797,72.97785186767578,42.79908752441406,52.06075668334961,52.34983825683594,54.92106628417969,34.678218841552734,56.657188415527344,5831.89990234375,8885.150390625,2415.9599609375,6909.68017578125,3426.409912109375,20081.359375,4283.2998046875
2012-08-14,110.43083953857422,72.6488265991211,42.864593505859375,52.1000862121582,52.222808837890625,54.85911178588867,34.5522346496582,56.51673889160156,5864.7998046875,8929.8798828125,2432.2900390625,6974.39013671875,3450.27001953125,20291.6796875,4292.2001953125
2012-08-15,110.55630493164062,72.30751037597656,42.65878677368164,51.8775634765625,51.99911880493164,54.86600875854492,34.377079010009766,56.3160400390625,5833.0,8925.0400390625,2430.389892578125,6946.7998046875,3449.199951171875,20052.2890625,4281.2001953125
2012-08-16,111.37207794189453,72.09422302246094,42.817840576171875,51.995361328125,51.974945068359375,54.79718017578125,34.30950164794922,56.25579833984375,5834.5,9092.759765625,2456.530029296875,6996.2900390625,3480.489990234375,19962.94921875,4330.2001953125
2012-08-17,111.52113342285156,72.19171905517578,42.817840576171875,52.021522521972656,52.03538513183594,54.83158493041992,34.40167999267578,56.349456787109375,5852.39990234375,9162.5,2471.530029296875,7040.8798828125,3488.3798828125,20116.0703125,4370.10009765625
2012-08-20,111.52897644042969,72.39282989501953,42.8692626953125,52.06075668334961,52.07168960571289,54.9141845703125,34.4108772277832,56.32273483276367,5824.39990234375,9171.16015625,2466.320068359375,7033.68017578125,3480.580078125,20104.26953125,4364.2998046875
2012-08-21,111.19168090820312,72.51473999023438,42.96283721923828,52.20477294921875,52.107975006103516,54.97616195678711,34.43241500854492,56.42304611206055,5857.5,9156.919921875,2490.27001953125,7089.31982421875,3513.280029296875,20100.08984375,4383.39990234375
2012-08-22,111.23875427246094,72.92914581298828,42.920711517333984,52.20477294921875,52.4526481628418,55.06568908691406,34.63521194458008,56.650516510009766,5774.2001953125,9131.740234375,2452.72998046875,7017.75,3461.64990234375,19887.779296875,4376.0
2012-08-23,110.3288803100586,72.9839859008789,42.911373138427734,52.15243911743164,52.53731155395508,55.05189895629883,34.70893859863281,56.67728805541992,5776.60009765625,9178.1201171875,2429.169921875,6949.56982421875,3432.56005859375,20132.240234375,4383.7001953125
2012-08-24,110.99555969238281,73.06320190429688,43.103145599365234,52.33562088012695,52.49501419067383,55.06568908691406,34.681304931640625,56.67728805541992,5776.60009765625,9070.759765625,2434.22998046875,6971.06982421875,3433.2099609375,19880.029296875,4349.0
2012-08-27,111.01911926269531,73.15459442138672,43.0704231262207,52.322532653808594,52.56755065917969,55.10696029663086,34.76118469238281,56.764251708984375,,9085.3896484375,2461.820068359375,7047.4501953125,3462.830078125,19798.669921875,4343.7001953125
2012-08-28,110.90930938720703,73.25819396972656,43.03297424316406,52.296348571777344,52.6340446472168,55.09318542480469,34.776519775390625,56.78432846069336,5775.7001953125,9033.2900390625,2442.1201171875,7002.68017578125,3431.550048828125,19811.80078125,4359.39990234375
2012-08-29,110.99555969238281,73.10586547851562,43.093780517578125,52.37485885620117,52.6642951965332,55.127593994140625,34.7489013671875,56.737491607666016,5743.5,9069.8095703125,2434.22998046875,7010.56982421875,3413.889892578125,19788.509765625,4356.39990234375
2012-08-30,110.19554901123047,73.13023376464844,43.07509994506836,52.38798141479492,52.59775161743164,55.148277282714844,34.776519775390625,56.78432846069336,5719.5,8983.7802734375,2403.800048828125,6895.490234375,3379.110107421875,19552.91015625,4315.7001953125
2012-08-31,110.7210922241211,73.63606262207031,43.1873664855957,52.53190994262695,52.905174255371094,55.23443603515625,34.960914611816406,56.985023498535156,5711.5,8839.91015625,2440.7099609375,6970.7900390625,3413.070068359375,19482.5703125,4316.10009765625
2012-09-03,,,,,,,,,5758.39990234375,8783.8896484375,2463.169921875,7014.830078125,3453.7099609375,19559.2109375,4329.7001953125
2012-09-04,110.61907958984375,73.46183013916016,43.18637466430664,52.456912994384766,52.79602813720703,55.18619155883789,34.959354400634766,56.94749069213867,5672.0,8775.509765625,2436.5400390625,6932.580078125,3399.0400390625,19429.91015625,4303.5
2012-09-05,110.52496337890625,73.49240112304688,43.19110107421875,52.483253479003906,52.759647369384766,55.151737213134766,34.977867126464844,56.94749069213867,5657.89990234375,8679.8203125,2441.81005859375,6964.68994140625,3405.7900390625,19145.0703125,4278.7998046875
2012-09-06,112.76826477050781,73.16831970214844,43.44509506225586,52.74644088745117,52.608123779296875,55.14484405517578,34.79295349121094,56.813385009765625,5777.2998046875,8680.5703125,2524.949951171875,7167.330078125,3509.8798828125,19209.30078125,4312.89990234375
2012-09-07,113.2074966430664,73.3211669921875,43.52033615112305,52.8780632019043,52.71723937988281,55.23443603515625,34.89154815673828,56.813385009765625,5794.7998046875,8871.650390625,2538.60009765625,7214.5,3519.050048828125,19802.16015625,4325.7998046875
2012-09-10,112.5643081665039,73.31505584716797,43.44977951049805,52.891231536865234,52.753578186035156,55.262027740478516,34.8700065612793,56.826759338378906,5793.2001953125,8869.3701171875,2528.530029296875,7213.7001953125,3506.050048828125,19827.169921875,4333.7998046875
2012-09-11,112.87803649902344,73.37623596191406,43.74607849121094,53.14128112792969,52.79602813720703,55.2758674621582,34.84843063354492,56.75300216674805,5792.2001953125,8807.3798828125,2557.64990234375,7310.10986328125,3537.300048828125,19857.880859375,4325.7998046875
2012-09-12,113.25456237792969,73.2294921875,43.87781524658203,53.3518180847168,52.6929817199707,55.25518035888672,34.78681182861328,56.672569274902344,5782.10009765625,8959.9599609375,2564.800048828125,7343.52978515625,3543.7900390625,20075.390625,4361.2998046875
2012-09-13,114.98018646240234,73.62077331542969,44.16000747680664,53.60186767578125,52.8748893737793,55.31724166870117,34.8700065612793,56.78658676147461,5819.89990234375,8995.150390625,2543.219970703125,7310.31982421875,3502.090087890625,20047.630859375,4339.39990234375
2012-09-14,115.4900131225586,73.18061065673828,44.155303955078125,53.65454864501953,52.74754333496094,55.37241744995117,34.68821716308594,56.50498962402344,5915.60009765625,9159.3896484375,2594.56005859375,7412.1298828125,3581.580078125,20629.779296875,4390.0
2012-09-17,115.09780883789062,73.43124389648438,44.11767578125,53.641361236572266,52.91732406616211,55.39310073852539,34.8330192565918,56.58543395996094,5893.5,,2583.570068359375,7403.68994140625,3553.68994140625,20658.109375,4402.5
2012-09-18,115.00367736816406,73.65743255615234,44.136478424072266,53.62820816040039,53.038604736328125,55.420654296875,34.85152053833008,56.65247344970703,5868.2001953125,9123.76953125,2553.39990234375,7347.68994140625,3512.68994140625,20601.9296875,4394.7001953125
2012-09-19,115.0664291381836,73.77970123291016,44.08005142211914,53.575584411621094,53.1417121887207,55.399959564208984,34.91929244995117,56.726226806640625,5888.5,9232.2099609375,2567.669921875,7390.759765625,3531.820068359375,20841.91015625,4418.39990234375
2012-09-20,115.07430267333984,73.71857452392578,43.87309265136719,53.3518180847168,53.07496643066406,55.399959564208984,34.90081024169922,56.739627838134766,5854.60009765625,9086.98046875,2553.030029296875,7389.490234375,3509.919921875,20590.919921875,4397.2001953125
2012-09-21,115.02616882324219,73.85310363769531,43.81195068359375,53.32550048828125,53.165931701660156,55.41382598876953,34.96860122680664,56.80000686645508,5852.60009765625,9110.0,2577.080078125,7451.6201171875,3530.719970703125,20734.939453125,4408.2998046875
2012-09-24,114.8526611328125,73.96310424804688,43.75553894042969,53.27284622192383,53.208377838134766,55.448272705078125,34.99326705932617,56.86030960083008,5838.7998046875,9069.2900390625,2557.889892578125,7413.16015625,3497.219970703125,20694.69921875,4385.5
2012-09-25,113.63043975830078,74.10986328125,43.36515426635742,52.90438461303711,53.2204704284668,55.441383361816406,35.06412887573242,56.974300384521484,5859.7001953125,9091.5400390625,2568.47998046875,7425.10986328125,3513.81005859375,20698.6796875,4372.89990234375
2012-09-26,112.99169921875,74.31768798828125,43.14876174926758,52.68063735961914,53.238704681396484,55.42755126953125,35.104190826416016,57.06817626953125,5768.10009765625,8906.7001953125,2498.52001953125,7276.509765625,3414.840087890625,20527.73046875,4361.60009765625
2012-09-27,114.05623626708984,74.28105926513672,43.619102478027344,53.03597640991211,53.178062438964844,55.47587966918945,35.101104736328125,57.03464126586914,5779.39990234375,8949.8701171875,2506.06005859375,7290.02001953125,3439.320068359375,20762.2890625,4384.2001953125
2012-09-28,113.52791595458984,74.44612884521484,43.41215515136719,52.91750717163086,53.30391311645508,55.49586868286133,35.104190826416016,57.088287353515625,5742.10009765625,8870.16015625,2454.260009765625,7216.14990234375,3354.820068359375,20840.380859375,4387.0
2012-10-01,113.82759094238281,74.64482116699219,43.33888244628906,52.90694046020508,53.41337966918945,55.56498718261719,35.1823844909668,57.13127517700195,5820.5,8796.509765625,2498.81005859375,7326.72998046875,3434.97998046875,,4388.60009765625
2012-10-02,113.94586181640625,74.66935729980469,43.447654724121094,52.90694046020508,53.53496170043945,55.60641860961914,35.18857192993164,57.13127517700195,5809.5,8786.0498046875,2493.590087890625,7305.85986328125,3414.22998046875,,4433.0
2012-10-03,114.4111328125,74.71839141845703,43.556373596191406,52.93342208862305,53.522769927978516,55.62718200683594,35.253456115722656,57.11112594604492,5825.7998046875,8746.8701171875,2492.47998046875,,3406.02001953125,20888.279296875,4438.60009765625
2012-10-04,115.231201171875,74.65705871582031,43.74078369140625,53.1716194152832,53.56535339355469,55.62718200683594,35.1514892578125,57.017051696777344,5827.7998046875,8824.58984375,2485.75,7305.2099609375,3401.199951171875,20907.94921875,4452.39990234375
2012-10-05,115.23909759521484,74.5405044555664,43.7171516418457,53.198089599609375,53.480281829833984,55.63410186767578,35.10201644897461,56.95659255981445,5871.0,8863.2998046875,2531.2099609375,7397.8701171875,3457.0400390625,21012.380859375,4494.39990234375
2012-10-08,114.8448257446289,74.73678588867188,43.65568923950195,53.18486022949219,53.55316162109375,55.66168975830078,35.14529800415039,57.03046798706055,5841.7001953125,,2496.090087890625,7291.2099609375,3406.530029296875,20824.560546875,4481.89990234375
2012-10-09,113.70930480957031,74.8165512084961,43.532752990722656,53.105438232421875,53.55316162109375,55.647911071777344,35.1823844909668,56.92973709106445,5810.2998046875,8769.58984375,2472.22998046875,7234.52978515625,3382.780029296875,20937.279296875,4505.2998046875
2012-10-10,112.98382568359375,74.95143127441406,43.42872619628906,53.026065826416016,53.66264724731445,55.66168975830078,35.1823844909668,57.017051696777344,5776.7001953125,8596.23046875,2456.5400390625,7205.22998046875,3365.8701171875,20919.599609375,4490.7001953125
