target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes,ap_lift
loss075,combined_z,0.1,4510,389,0.08625277161862528,0.7099956396137659,0.23236921076668787,752,178,211,0.1824799805872361,0.45758354755784064,0.1913978494623656,0.20620842572062084,86,63,0.5141010242452866,0.24189553901354077,13,2.694049204518669
loss075,combined_z_correlation,0.01,4510,389,0.08625277161862528,0.6735786170152377,0.17753624135889218,281,84,305,0.0681873331715603,0.2159383033419023,0.23013698630136986,0.08093126385809313,64,52,0.5395733817445153,0.25342642138329,13,2.0583250604848424
loss075,combined_z_correlation,0.05,4510,389,0.08625277161862528,0.6735786170152377,0.17753624135889218,539,106,283,0.1307934967240961,0.27249357326478146,0.16434108527131783,0.14301552106430154,104,88,0.5395733817445153,0.25342642138329,13,2.0583250604848424
loss075,combined_z_correlation,0.1,4510,389,0.08625277161862528,0.6735786170152377,0.17753624135889218,761,144,245,0.18466391652511527,0.37017994858611825,0.1591160220994475,0.2006651884700665,110,89,0.5395733817445153,0.25342642138329,13,2.0583250604848424
loss075,market,0.01,4510,389,0.08625277161862528,0.7055616445705082,0.23026653416169166,433,97,292,0.1050715845668527,0.2493573264781491,0.1830188679245283,0.11751662971175167,41,29,0.49987541178743994,0.2390767398280769,13,2.6696711287126718
loss075,market,0.05,4510,389,0.08625277161862528,0.7055616445705082,0.23026653416169166,643,131,258,0.156030089784033,0.33676092544987146,0.16925064599483206,0.17161862527716187,61,47,0.49987541178743994,0.2390767398280769,13,2.6696711287126718
loss075,market,0.1,4510,389,0.08625277161862528,0.7055616445705082,0.23026653416169166,862,183,206,0.20917253093909247,0.4704370179948586,0.17511961722488037,0.23170731707317074,69,50,0.49987541178743994,0.2390767398280769,13,2.6696711287126718
loss075,market_correlation,0.01,4510,389,0.08625277161862528,0.6872567556355964,0.20481673665378777,313,70,319,0.07595243872846397,0.17994858611825193,0.18276762402088773,0.08492239467849223,45,40,0.5098788202398015,0.24833117297788693,13,2.3746104943665367
loss075,market_correlation,0.05,4510,389,0.08625277161862528,0.6872567556355964,0.20481673665378777,579,97,292,0.14049987867022568,0.2493573264781491,0.14349112426035504,0.14988913525498893,67,57,0.5098788202398015,0.24833117297788693,13,2.3746104943665367
loss075,market_correlation,0.1,4510,389,0.08625277161862528,0.6872567556355964,0.20481673665378777,766,159,230,0.18587721426838147,0.4087403598971722,0.17189189189189188,0.20509977827050999,82,63,0.5098788202398015,0.24833117297788693,13,2.3746104943665367
loss075,topology,0.01,4510,389,0.08625277161862528,0.6048435843996733,0.10842895901040346,252,38,351,0.061150206260616354,0.09768637532133675,0.1310344827586207,0.06430155210643015,70,49,0.539890057699551,0.26179225330825556,13,1.2571069540794848
loss075,topology,0.05,4510,389,0.08625277161862528,0.6048435843996733,0.10842895901040346,494,112,277,0.11987381703470032,0.2879177377892031,0.1848184818481848,0.1343680709534368,122,84,0.539890057699551,0.26179225330825556,13,1.2571069540794848
loss075,topology,0.1,4510,389,0.08625277161862528,0.6048435843996733,0.10842895901040346,740,167,222,0.17956806600339723,0.42930591259640105,0.18412348401323042,0.20110864745011087,136,105,0.539890057699551,0.26179225330825556,13,1.2571069540794848
loss075,topology_ews,0.01,4510,389,0.08625277161862528,0.5111776224229899,0.0935906509640678,266,9,380,0.06454743994176171,0.02313624678663239,0.03272727272727273,0.06097560975609756,17,15,0.4973355703544854,0.19442168142394378,13,1.0850741281438194
loss075,topology_ews,0.05,4510,389,0.08625277161862528,0.5111776224229899,0.0935906509640678,399,23,366,0.09682115991264256,0.05912596401028278,0.054502369668246446,0.09356984478935698,24,19,0.4973355703544854,0.19442168142394378,13,1.0850741281438194
loss075,topology_ews,0.1,4510,389,0.08625277161862528,0.5111776224229899,0.0935906509640678,564,35,354,0.13685998544042707,0.08997429305912596,0.05843071786310518,0.1328159645232816,30,22,0.4973355703544854,0.19442168142394378,13,1.0850741281438194
loss075,topology_z,0.01,4510,389,0.08625277161862528,0.658080219878246,0.12723360936693429,148,35,354,0.03591361320067945,0.08997429305912596,0.1912568306010929,0.04057649667405765,69,52,0.5805967875456784,0.2852333114489345,13,1.475124879806873
loss075,topology_z,0.05,4510,389,0.08625277161862528,0.658080219878246,0.12723360936693429,329,64,325,0.0798349915069158,0.16452442159383032,0.1628498727735369,0.08713968957871397,120,99,0.5805967875456784,0.2852333114489345,13,1.475124879806873
loss075,topology_z,0.1,4510,389,0.08625277161862528,0.658080219878246,0.12723360936693429,567,113,276,0.1375879640863868,0.29048843187660667,0.1661764705882353,0.15077605321507762,149,114,0.5805967875456784,0.2852333114489345,13,1.475124879806873
